Airline_Name,Review_Title,Review,Overall_Rating,Recommended,Verified,Review_Date,Date_Flown,Route,Aircraft,Seat_Type,Type_Of_Traveller,Value_For_Money
Aerolineas Argentinas,Tango in the sky,Argentina's national carrier.,3,yes,yes,2023-10-23,2023-10-16,Buenos Aires to Cordoba,Boeing 737,Economy,Business,3
South African Airways,Rainbow nation,Financial troubles but service still good.,3,yes,yes,2023-10-22,2023-10-15,Johannesburg to Cape Town,Airbus A320,Economy,Business,3
Ethiopian Airlines,African powerhouse,Best airline in Africa. Great hub in Addis.,4,yes,yes,2023-10-21,2023-10-14,Addis Ababa to Nairobi,Boeing 737,Economy,Business,4
Kenya Airways,Pride of Africa,Good regional connections.,3,yes,yes,2023-10-20,2023-10-13,Nairobi to Mombasa,Boeing 737,Economy,Leisure,3
Egypt Air,Pharaoh's wings,Cairo hub is busy. Service is okay.,3,yes,yes,2023-10-19,2023-10-12,Cairo to Luxor,Airbus A320,Economy,Leisure,3
Royal Air Maroc,Moroccan gateway,Casablanca hub is useful for Africa connections.,3,yes,yes,2023-10-18,2023-10-11,Casablanca to Marrakech,Boeing 737,Economy,Leisure,3
Tunisair,Mediterranean crossroads,Decent regional carrier.,3,yes,yes,2023-10-17,2023-10-10,Tunis to Djerba,Airbus A320,Economy,Leisure,3
Air Mauritius,Island paradise,Small but lovely airline. Paradise destination.,4,yes,yes,2023-10-16,2023-10-09,Mauritius to Rodrigues,ATR 72,Economy,Leisure,3
Air Seychelles,Tropical beauty,Another island paradise airline.,4,yes,yes,2023-10-15,2023-10-08,Mahe to Praslin,ATR 72,Economy,Leisure,3
RwandAir,Rising star,Fast growing African airline. Modern fleet.,4,yes,yes,2023-10-14,2023-10-07,Kigali to Nairobi,Airbus A330,Economy,Business,4
Air Namibia,Desert carrier,Now defunct unfortunately. Was decent.,3,no,yes,2023-10-13,2023-10-06,Windhoek to Cape Town,Airbus A319,Economy,Leisure,3
Delta Airlines,Disappointing Delta One,Expected better from business class. Seat was broken.,2,no,yes,2023-10-12,2023-10-05,New York to Los Angeles,Airbus A330,Business,Business,2
United Airlines,Lost baggage nightmare,Bag lost for 5 days. Customer service unhelpful.,1,no,yes,2023-10-11,2023-10-04,San Francisco to Chicago,Boeing 777,Economy,Business,1
American Airlines,Crew was rude,Flight attendant was dismissive and unprofessional.,2,no,yes,2023-10-10,2023-10-03,Miami to Dallas,Boeing 737,Economy,Leisure,2
Southwest Airlines,Loved the flexibility,Free bag check and easy rebooking. Great airline.,4,yes,yes,2023-10-09,2023-10-02,Austin to Houston,Boeing 737,Economy,Business,4
JetBlue,Mint class excellence,Best domestic business class in USA. Highly recommend.,5,yes,yes,2023-10-08,2023-10-01,New York to Los Angeles,Airbus A321,Business,Business,5
Emirates,A380 upper deck,Bar area was fantastic. Felt like a luxury club.,5,yes,yes,2023-10-07,2023-09-30,Dubai to Sydney,Airbus A380,Business,Leisure,5
Ryanair,Hidden fees everywhere,Advertised price doubled with all the add-ons.,2,no,yes,2023-10-06,2023-09-29,London to Dublin,Boeing 737,Economy,Leisure,3
British Airways,Strike caused chaos,Not airline's fault but communication was poor.,2,no,yes,2023-10-05,2023-09-28,London to Madrid,Airbus A320,Economy,Business,2
Lufthansa,Premium economy worth it,Extra legroom and better food. Good value.,4,yes,yes,2023-10-04,2023-09-27,Munich to New York,Airbus A350,Premium Economy,Business,4
Singapore Airlines,Suite class heaven,Private suite was incredible. Best flight ever.,5,yes,yes,2023-10-03,2023-09-26,Singapore to Frankfurt,Airbus A380,First,Leisure,5
Air France,Paris connection tight,Airport is confusing. Nearly missed connection.,3,yes,yes,2023-10-02,2023-09-25,Paris to Nice,Airbus A319,Economy,Leisure,3
Qatar Airways,Qsuite is amazing,Best business class product. Privacy doors are great.,5,yes,yes,2023-10-01,2023-09-24,Doha to London,Boeing 777,Business,Business,5
ANA,The Room business class,Spacious and private. Japanese service impeccable.,5,yes,yes,2023-09-30,2023-09-23,Tokyo to New York,Boeing 777,Business,Business,5
KLM,Friendly Dutch crew,Crew went above and beyond to help with connection.,4,yes,yes,2023-09-29,2023-09-22,Amsterdam to Barcelona,Boeing 737,Economy,Leisure,4
Turkish Airlines,Business lounge Istanbul,Lounge alone worth the stopover. Incredible food.,5,yes,yes,2023-09-28,2023-09-21,Istanbul to London,Airbus A350,Business,Business,5
Cathay Pacific,Excellent recovery,Flight delayed but airline handled it perfectly.,4,yes,yes,2023-09-27,2023-09-20,Hong Kong to Tokyo,Airbus A350,Economy,Leisure,4
Qantas,Kangaroo route comfort,Perth to London nonstop was comfortable.,4,yes,yes,2023-09-26,2023-09-19,Perth to London,Boeing 787,Premium Economy,Leisure,4
Air Canada,Maple leaf mess,Worst customer service I've experienced.,1,no,yes,2023-09-25,2023-09-18,Montreal to Toronto,Airbus A320,Economy,Business,1
Etihad Airways,The Residence insane,Three room apartment in the sky. Unforgettable.,5,yes,yes,2023-09-24,2023-09-17,Abu Dhabi to London,Airbus A380,First,Leisure,5
Virgin Atlantic,Upper class lounge,Clubhouse is fantastic. Flight was great too.,4,yes,yes,2023-09-23,2023-09-16,London to New York,Airbus A350,Business,Business,5
EasyJet,Speedy boarding scam,Priority boarding didn't feel priority at all.,2,no,yes,2023-09-22,2023-09-15,Manchester to Amsterdam,Airbus A320,Economy,Leisure,3
Norwegian Air,Long haul disappointing,Premium cabin not worth the price.,2,no,yes,2023-09-21,2023-09-14,London to New York,Boeing 787,Premium Economy,Leisure,2
Swiss International,Chocolate and cheese,Swiss touches throughout. Loved it.,4,yes,yes,2023-09-20,2023-09-13,Zurich to London,Airbus A220,Economy,Business,4
TAP Portugal,Stopover program great,Free Lisbon stopover was brilliant idea.,4,yes,yes,2023-09-19,2023-09-12,Lisbon to Boston,Airbus A330,Economy,Leisure,4
Iberia,Madrid T4S terminal,Beautiful terminal. Flight was good too.,4,yes,yes,2023-09-18,2023-09-11,Madrid to New York,Airbus A350,Economy,Leisure,4
Aeroflot,Avoid if possible,Old planes and poor service. Not recommended.,2,no,yes,2023-09-17,2023-09-10,Moscow to London,Airbus A320,Economy,Business,2
LOT Polish Airlines,Dreamliner comfort,787 is a great plane. Service was good.,4,yes,yes,2023-09-16,2023-09-09,Warsaw to Chicago,Boeing 787,Economy,Business,4
SAS Scandinavian,SAS Plus worth it,Better than economy with good perks.,4,yes,yes,2023-09-15,2023-09-08,Copenhagen to New York,Airbus A330,Premium Economy,Business,4
Finnair,Northern lights flight,Special flight to see aurora. Amazing experience.,5,yes,yes,2023-09-14,2023-09-07,Helsinki to Ivalo,Airbus A320,Economy,Leisure,5
Alitalia,Sad to see them go,Last flight before closure. Nostalgic.,3,yes,yes,2023-09-13,2023-09-06,Rome to Milan,Airbus A320,Economy,Business,3
Austrian Airlines,Vienna waltz,Smooth as a waltz. Great service.,4,yes,yes,2023-09-12,2023-09-05,Vienna to London,Airbus A320,Economy,Business,4
Czech Airlines,Prague beautiful,Short flight but nice service.,3,yes,yes,2023-09-11,2023-09-04,Prague to Vienna,ATR 72,Economy,Business,3
Aegean Airlines,Best in Greece,Domestic service in Greece is excellent.,4,yes,yes,2023-09-10,2023-09-03,Athens to Santorini,Airbus A320,Economy,Leisure,4
Aer Lingus,Transatlantic value,Good prices to Europe from US.,4,yes,yes,2023-09-09,2023-09-02,Dublin to Boston,Airbus A330,Economy,Leisure,4
Brussels Airlines,African connections,Good for flights to Africa via Brussels.,3,yes,yes,2023-09-08,2023-09-01,Brussels to Kinshasa,Airbus A330,Economy,Family,3
Croatia Airlines,Coastal beauty,Views of Croatian coast were stunning.,4,yes,yes,2023-09-07,2023-08-31,Zagreb to Dubrovnik,Dash 8,Economy,Leisure,4
Cyprus Airways,Mediterranean gem,Small airline but pleasant.,3,yes,yes,2023-09-06,2023-08-30,Larnaca to Athens,Airbus A320,Economy,Leisure,3
Air India,New livery nice,Rebranding looking good. Service improving.,3,yes,yes,2023-09-05,2023-08-29,Delhi to Bangalore,Boeing 787,Economy,Business,3
IndiGo,Always on time,Punctuality is their strength.,4,yes,yes,2023-09-04,2023-08-28,Mumbai to Pune,Airbus A320,Economy,Business,4
SpiceJet,Too spicy for comfort,Cramped and uncomfortable.,2,no,yes,2023-09-03,2023-08-27,Delhi to Goa,Boeing 737,Economy,Leisure,3
Vistara,Club class excellent,Best domestic business in India.,5,yes,yes,2023-09-02,2023-08-26,Mumbai to Delhi,Airbus A321,Business,Business,5
AirAsia,Kuala Lumpur hub,Good connections through KLIA2.,3,yes,yes,2023-09-01,2023-08-25,Kuala Lumpur to Singapore,Airbus A320,Economy,Leisure,4
Thai Airways,Royal silk service,Royal treatment in business class.,4,yes,yes,2023-08-31,2023-08-24,Bangkok to Tokyo,Boeing 777,Business,Leisure,4
Vietnam Airlines,Bamboo airways better,Vietnam has better domestic options now.,3,yes,yes,2023-08-30,2023-08-23,Hanoi to Da Nang,Airbus A321,Economy,Leisure,3
Philippine Airlines,Manila hub chaotic,Airport is the problem not the airline.,3,yes,yes,2023-08-29,2023-08-22,Manila to Boracay,Airbus A320,Economy,Leisure,3
Garuda Indonesia,Business class lie flat,Comfortable bed in the sky.,4,yes,yes,2023-08-28,2023-08-21,Jakarta to Singapore,Boeing 737,Business,Business,4
Malaysia Airlines,Satay on board,Malaysian food is delicious.,4,yes,yes,2023-08-27,2023-08-20,Kuala Lumpur to Kota Kinabalu,Boeing 737,Economy,Leisure,4
China Eastern,Language barrier,Few English speakers in crew.,2,no,yes,2023-08-26,2023-08-19,Shanghai to Guangzhou,Airbus A320,Economy,Business,2
